fecha,cpi_u_nsa,fuente,url,consultado
1995-03-01,151.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-04-01,151.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-05-01,152.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-06-01,152.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-07-01,152.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-08-01,152.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-09-01,153.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-10-01,153.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-11-01,153.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-12-01,153.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-01-01,154.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-02-01,154.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-03-01,155.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-04-01,156.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-05-01,156.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-06-01,156.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-07-01,157.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-08-01,157.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-09-01,157.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-10-01,158.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-11-01,158.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1996-12-01,158.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-01-01,159.1,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-02-01,159.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-03-01,160.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-04-01,160.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-05-01,160.1,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-06-01,160.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-07-01,160.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-08-01,160.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-09-01,161.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-10-01,161.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-11-01,161.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1997-12-01,161.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-01-01,161.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-02-01,161.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-03-01,162.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-04-01,162.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-05-01,162.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-06-01,163.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-07-01,163.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-08-01,163.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
